"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","订单模块","1","0","取消订单","0"
"0","","0","订单模块","1","0","订单详情","0"
"0","","0","订单模块","1","0","确认订单","0"
"0","","0","地址模块","1","0","删除地址","0"
"0","","0","登录模块","4","0","用户登录","0"
"0","","0","购物车模块","1","0","添加商品到购物车_单个删除","0"
"0","","0","购物车模块","2","0","获取购物车列表","0"
"0","","0","订单模块","1","0","创建订单","0"
"0","","0","购物车模块","2","0","添加商品到购物车_多个删除","0"
"0","","0","购物车模块","1","0","获取购物车数量","0"
"0","","0","地址模块","1","0","修改地址","0"
"0","","0","地址模块","1","0","获取地址列表","0"
"0","","0","地址模块","1","0","设置默认地址","0"
"0","","0","购物车模块","2","0","删除购物车商品","0"
"0","","0","地址模块","1","0","新增地址","0"
"0","","0","订单模块","1","0","模拟支付订单","0"
